Date; Amount ;Category;Subcategory;Description
27.06.2014;-70 000,00р. ;Ремонт;Ремонт;кондиционер
27.06.2014;-36,00р. ;Еда;Магазин;
28.06.2014;-8 200,00р. ;Ремонт;Ремонт;переезд
29.06.2014; -2190.00 ;Посиделки;Кафе;
29.06.2014;-200,00р. ;Еда;Магазин;
29.06.2014;-1 550,00р. ;Квартплата;Другое;
29.06.2014;-645,00р. ;Еда;Магазин;
29.06.2014;-200,00р. ;Вещи;Техника;батарейки
29.06.2014;-2 010,00р. ;Еда;Магазин;
30.06.2014;-30,00р. ;Еда;Перекус;
30.06.2014;-300,00р. ;Сотовый;Мой;
30.06.2014;-324,00р. ;Еда;Обед;
30.06.2014;-92,00р. ;Еда;Перекус;
30.06.2014;-1 000,00р. ;Авто;Бензин;
30.06.2014; 80 060,00р. ;Income;Зарплата;
01.07.2014;-700,00р. ;Квартплата;Другое;интернет
01.07.2014; -650.00 ;Еда;Магазин;
01.07.2014;-655,00р. ;Лекарства;Аптека;
01.07.2014;-211,00р. ;Еда;Магазин;
02.07.2014; 50 000,00р. ;Income;Премия;
02.07.2014;-280,00р. ;Еда;Обед;
02.07.2014;-84,00р. ;Авто;Парковка;
03.07.2014;-272,00р. ;Еда;Обед;
03.07.2014;-1 000,00р. ;Авто;Бензин;
03.07.2014;-640,00р. ;Авто;Мойка;
03.07.2014;-3 230,00р. ;Прочее;Прочее;коньяк
03.07.2014;-4 100,00р. ;Прочее;Прочее;цветы
03.07.2014;-2 000,00р. ;Прочее;Прочее;подарки роддом
03.07.2014;-1 101,00р. ;Лекарства;Аптека;
03.07.2014;-20 000,00р. ;Прочее;Прочее;подарки роддом
04.07.2014;-277,00р. ;Еда;Обед;
04.07.2014; -892.00 ;Еда;Магазин;
05.07.2014;-1 580,00р. ;Ребёнок;Вещи;
05.07.2014;-398,00р. ;Еда;Магазин;
06.07.2014;-236,00р. ;Еда;Магазин;
07.07.2014;-291,00р. ;Еда;Обед;
07.07.2014;-3 000,00р. ;Авто;Штрафы;
07.07.2014;-268,00р. ;Еда;Магазин;
07.07.2014;-2 000,00р. ;Еда;Магазин;
07.07.2014;-3 000,00р. ;Прочее;Прочее;билеты в мордовию
07.07.2014;-3 030,00р. ;Авто;Штрафы;
07.07.2014;-505,00р. ;Авто;Штрафы;
07.07.2014;-505,00р. ;Авто;Штрафы;
07.07.2014;-505,00р. ;Авто;Штрафы;
07.07.2014;-2 130,00р. ;Ребёнок;Вещи;
08.07.2014;-30,00р. ;Еда;Перекус;
08.07.2014;-377,00р. ;Вещи;Техника;ибей
08.07.2014;-251,00р. ;Еда;Обед;
09.07.2014;-30,00р. ;Еда;Перекус;
09.07.2014;-270,00р. ;Еда;Обед;
09.07.2014;-320,00р. ;Еда;Магазин;
10.07.2014;-35,00р. ;Еда;Перекус;
10.07.2014;-300,00р. ;Сотовый;Другой;
10.07.2014;-310,00р. ;Еда;Магазин;
10.07.2014;-1 000,00р. ;Авто;Бензин;
10.07.2014;-544,00р. ;Еда;Магазин;
11.07.2014;-314,00р. ;Еда;Обед;
12.07.2014; -13100.00 ;Ребёнок;Вещи;
12.07.2014;-1 000,00р. ;Еда;Магазин;
12.07.2014;-310,00р. ;Лекарства;Аптека;
13.07.2014;-762,00р. ;Еда;Магазин;
